"1","1","愛の種","モーニング娘。","UR-001","サエキけんぞう","桜井鉄太郎","桜井鉄太郎"
"2","1","愛の種","モーニング娘。","EPDA-56","サエキけんぞう","桜井鉄太郎","桜井鉄太郎"
"3","1","愛の種","モーニング娘。","EPCE-5002","サエキけんぞう","桜井鉄太郎","桜井鉄太郎"
"4","1","愛の種","モーニング娘。","EPCE-5089","サエキけんぞう","桜井鉄太郎","桜井鉄太郎"
"5","1","愛の種","モーニング娘。","EPCE-5321","サエキけんぞう","桜井鉄太郎","桜井鉄太郎"
"6","1","愛の種","モーニング娘。","EPCE-5661","サエキけんぞう","桜井鉄太郎","桜井鉄太郎"
"7","1","愛の種(20th Anniversary Ver.)","モーニング娘。20th","UFDL-1366","サエキけんぞう","桜井鉄太郎","鈴木俊介"
"8","1","愛の種(20th Anniversary Ver.)","モーニング娘。'17","EPCE-7371","サエキけんぞう","桜井鉄太郎","鈴木俊介"
"9","1","愛の種(20th Anniversary Ver.)","モーニング娘。20th","EPCE-7387","サエキけんぞう","桜井鉄太郎","鈴木俊介"
"10","2","GET","平家みちよ","WPDV-7125","つんく","はたけ","はたけ"
"11","2","GET","平家みちよ","WPCV-7419","つんく","はたけ","はたけ"
"12","2","GET","平家みちよ","WPCV-10095","つんく","はたけ","はたけ"
"13","3","プリペアー","平家みちよ","WPDV-7125","まこと","はたけ","はたけ"
"14","3","プリペアー","平家みちよ","WPCV-7419","まこと","はたけ","はたけ"
"15","4","モーニングコーヒー","モーニング娘。","EPDA-56","つんく","つんく","桜井鉄太郎"
"16","4","モーニングコーヒー","モーニング娘。","EPCE-5002","つんく","つんく","桜井鉄太郎"
"17","4","モーニング牛乳","カントリー娘。","SPRE-002","つんく/ラップ詞:下町兄弟","つんく","下町兄弟"
"18","4","モーニングコーヒー","モーニング娘。","EPCE-5089","つんく","つんく","桜井鉄太郎"
"19","4","モーニングコーヒー (2002version)","モーニング娘。","EPCE-5143","つんく","つんく","鈴木俊介"
"20","4","モーニングコーヒー(ハワイアン Version)","高木ブーとモ－ニング娘｡･ココナッツ娘｡･藤本美貴･石川リカ","EPCE-5167","つんく","つんく","米光亮"
"21","4","モーニングコーヒー","モーニング娘。","EPCE-5321","つんく","つんく","桜井鉄太郎"
"22","4","モーニングコーヒー(Unreleased""""B♭""""Version)","モーニング娘。","EPCE-5321","つんく","つんく","桜井鉄太郎"
"23","4","モーニングコーヒー","モーニング娘。","EPCE-5505","つんく","つんく","桜井鉄太郎"
"24","4","モーニングコーヒー","アイスクリー娘。","TGCS-5402","つんく","つんく","高橋諭一"
"25","4","モーニングコーヒー (中国語Ver.)","アイスクリー娘。","TGCS-5402","つんく","つんく","高橋諭一"
"26","4","モーニングコーヒー (2002version)","モーニング娘。","EPCE-5661","つんく","つんく","鈴木俊介"
"27","4","モーニングコーヒー(2011ドリムス。Ver.)","ドリーム モーニング娘。","EPCE-5774","つんく","つんく","平田祥一郎"
"28","4","モーニングみそ汁","モーニング娘。'17","EPCE-7306","つんく","つんく","平田祥一郎"
"29","4","モーニングコーヒー(20th Anniversary Ver.)","モーニング娘。20th","UFDL-1389","つんく","つんく","鈴木俊介"
"30","4","モーニングコーヒー(20th Anniversary Ver.)","モーニング娘。20th","EPCE-7387","つんく","つんく","鈴木俊介"
"31","4","モーニングコーヒー(20th Anniversary Ver.)","モーニング娘。20th","EPCE-7454","つんく","つんく","鈴木俊介"
"32","4","モーニングみそ汁","モーニング娘。'17","EPCE-7462","つんく","つんく","平田祥一郎"
"33","5","卒業 〜TOP OF THE WORLD〜","平家みちよ","WPDV-7126","RICHARD CARPENTER、JOHN BETTIS (訳詞：まこと)","RICHARD CARPENTER、JOHN BETTIS","はたけ"
"34","5","卒業 〜TOP OF THE WORLD〜","平家みちよ","WPCV-7419","RICHARD CARPENTER、JOHN BETTIS (訳詞：まこと)","RICHARD CARPENTER、JOHN BETTIS","はたけ"
"35","5","卒業 〜TOP OF THE WORLD〜","平家みちよ","WPCV-10095","RICHARD CARPENTER、JOHN BETTIS (訳詞：まこと)","RICHARD CARPENTER、JOHN BETTIS","はたけ"
"36","6","支えてくれなくちゃ","平家みちよ","WPDV-7126","まこと","はたけ","はたけ"
"37","7","Start!","平家みちよ","WPCV-7419","加藤紀子","はたけ","はたけ"
"38","8","スキップ","平家みちよ","WPCV-7419","まこと","はたけ","はたけ"
"39","9","オンナのエボリューション","平家みちよ","WPCV-7419","まこと","はたけ","はたけ"
"40","10","ふりむかないで","平家みちよ","WPCV-7419","つんく","はたけ","はたけ"
"41","11","ひとりぐらし","平家みちよ","WPCV-7419","まこと","はたけ","はたけ"
"42","12","赤い月","平家みちよ","WPCV-7419","愛絵理","はたけ","はたけ"
"43","13","Teenage Dream (Instrumental)","Inst","WPCV-7419",,"はたけ","はたけ"
"44","14","Hey! Hey! Girls Soul","平家みちよ","WPCV-7419","とみたきょうこ","はたけ","はたけ"
"45","15","サマーナイトタウン","モーニング娘。","EPDE-1003","つんく","つんく","前嶋康明"
"46","15","サマーナイトタウン","モーニング娘。","EPCE-5002","つんく","つんく","前嶋康明"
"47","15","サマーナイトタウン(English Version)","ココナッツ娘","SRDL-4642","つんく","つんく","BANANAICE"
"48","15","サマーナイトタウン(English Version)","ココナッツ娘","EPCE-5054","つんく","つんく","BANANAICE"
"49","15","サマーナイトタウン","モーニング娘。","EPCE-5089","つんく","つんく","前嶋康明"
"50","15","サマーナイトタウン(ハワイアン Version)","高木ブーとモ－ニング娘｡･ココナッツ娘｡･藤本美貴･石川リカ","EPCE-5167","つんく","つんく","米光亮"
"51","15","サマーナイトタウン (モーニング娘。おとめ組Version)","モーニング娘。おとめ組","EPCE-5268","つんく","つんく","前嶋康明"
"52","15","サマーナイトタウン","モーニング娘。","EPCE-5321","つんく","つんく","前嶋康明"
"53","15","サマーナイトタウン(First Live Version)","モーニング娘。","EPCE-5321","つんく","つんく","前嶋康明"
"54","15","サマーナイトタウン","モーニング娘。","EPCE-5505","つんく","つんく","前嶋康明"
"55","16","A MEMORY OF SUMMER '98","モーニング娘。","EPDE-1003","つんく","つんく","高橋諭一"
"56","16","A MEMORY OF SUMMER '98","モーニング娘。","EPCE-5321","つんく","つんく","高橋諭一"
"57","16","A MEMORY OF SUMMER '98","モーニング娘。","EPCE-5661","つんく","つんく","高橋諭一"
"58","17","ダイキライ","平家みちよ","WPDV-7152","牧穂エミ","はたけ","はたけ"
